POI_ID,ADDRESS,"﻿""DESCRIPTION""",NAME,GeoJSON,geo_point_2d
7464,,Village,INGLE,"{""coordinates"": [-77.0350098, 44.4379284], ""type"": ""Point""}","44.4379284, -77.0350098"
7161,,Town,CAMDEN EAST,"{""coordinates"": [-76.8336556, 44.3310273], ""type"": ""Point""}","44.3310273, -76.8336556"
7164,,Village,NEW DUBLIN,"{""coordinates"": [-75.8020144, 44.6680295], ""type"": ""Point""}","44.6680295, -75.8020144"
7948,935 GARDINERS RD,Library,KINGSTON FRONTENAC LIBRARY - ISABEL TURNER BRANCH,"{""coordinates"": [-76.5716711, 44.2545264], ""type"": ""Point""}","44.2545264, -76.5716711"
7879,1753 HWY 2,Marina,TREASURE ISLAND MARINA,"{""coordinates"": [-76.3776125, 44.2636176], ""type"": ""Point""}","44.2636176, -76.3776125"
8139,506 O'CONNOR DR,Communication Tower,KINGSTON WEST WATER TOWER CELL TOWER,"{""coordinates"": [-76.5666407, 44.2587895], ""type"": ""Point""}","44.2587895, -76.5666407"
8141,1913 UNITY RD,Communication Tower,1913 UNITY RD CELL TOWER,"{""coordinates"": [-76.5311861, 44.3155312], ""type"": ""Point""}","44.3155312, -76.5311861"
8741,MIDDLE RD/MURRAYS RD,Communication Tower,MIDDLE RD / MURRAYS RD NORTH CELL TOWER,"{""coordinates"": [-76.3595453, 44.3152158], ""type"": ""Point""}","44.3152158, -76.3595453"
9416,685 BROCK ST,Monument,KINGSTON TERCENTENIAL,"{""coordinates"": [-76.507911, 44.2332081], ""type"": ""Point""}","44.2332081, -76.507911"
9417,61 ONTARIO ST,Monument,MARINE MUSEUM OF THE GREAT LAKES HERITAGE PLAQUE,"{""coordinates"": [-76.4837394, 44.2255555], ""type"": ""Point""}","44.2255555, -76.4837394"
9360,3513 BREWER'S MILLS RD,Outdoor Rink (Community),JOHN BREWER PARK OUTDOOR HOCKEY RINK,"{""coordinates"": [-76.2816437, 44.41073], ""type"": ""Point""}","44.41073, -76.2816437"
9181,21 COURT ST,Washroom,FRONTENAC COUNY COURT HOUSE WASHROOM,"{""coordinates"": [-76.4899342, 44.2277178], ""type"": ""Point""}","44.2277178, -76.4899342"
9031,36 CLIFF CR,Communication Tower,36 CLIFF CR CELL TOWER,"{""coordinates"": [-76.5148688, 44.2323216], ""type"": ""Point""}","44.2323216, -76.5148688"
8744,STUART ST,Cell Antenna,KGH CELL ANTENNA,"{""coordinates"": [-76.493384, 44.2235733], ""type"": ""Point""}","44.2235733, -76.493384"
8142,285 KING ST E,Cell Antenna,285 KING ST E CELL ANTENNA,"{""coordinates"": [-76.4817737, 44.2295293], ""type"": ""Point""}","44.2295293, -76.4817737"
8434,117 PARK ST,Cell Antenna,117 PARK ST CELL ANTENNA,"{""coordinates"": [-76.5075646, 44.2379385], ""type"": ""Point""}","44.2379385, -76.5075646"
8436,100 DAYS RD,Communication Tower,100 DAYS RD CELL TOWER,"{""coordinates"": [-76.5674225, 44.2199318], ""type"": ""Point""}","44.2199318, -76.5674225"
9153,33 BAGOT ST,Monument,SIR JOHN A. MACDONALD STATUE,"{""coordinates"": [-76.4868124, 44.2249843], ""type"": ""Point""}","44.2249843, -76.4868124"
9154,1 KING ST,Monument,FRANCES E. WILLARD MEMORIAL,"{""coordinates"": [-76.4893967, 44.221992], ""type"": ""Point""}","44.221992, -76.4893967"
9132,564 TANNER DR,Long Term Care,ARBOUR HEIGHTS SENIOR LIVING,"{""coordinates"": [-76.5587626, 44.2393795], ""type"": ""Point""}","44.2393795, -76.5587626"
9133,615 MANDARA CT,Park,WESTBROOK MEADOWS PARK,"{""coordinates"": [-76.6274723, 44.2721121], ""type"": ""Point""}","44.2721121, -76.6274723"
9134,842 HWY 2,Communication Tower,842 HWY 2 CELL TOWER,"{""coordinates"": [-76.4270012, 44.2435319], ""type"": ""Point""}","44.2435319, -76.4270012"
8438,,Village,OMPAH,"{""coordinates"": [-76.833356, 45.0096003], ""type"": ""Point""}","45.0096003, -76.833356"
9432,81 INDIAN RD,Playground,STRATHCONA PARK PLAYGROUND,"{""coordinates"": [-76.5272476, 44.2512152], ""type"": ""Point""}","44.2512152, -76.5272476"
9156,39 CRERAR BLVD,Playground,CRERAR PARK PLAYGROUND,"{""coordinates"": [-76.5676512, 44.2131195], ""type"": ""Point""}","44.2131195, -76.5676512"
9158,715 TRUMAN DR,Playground,HILLVIEW PARK PLAYGROUND,"{""coordinates"": [-76.5996194, 44.2458548], ""type"": ""Point""}","44.2458548, -76.5996194"
9436,355 WATERLOO DR,Playground,ST. MARGUERITE BOURGEOYS ELEMENTARY SCHOOL PLAYGROUND 1,"{""coordinates"": [-76.552264, 44.2526942], ""type"": ""Point""}","44.2526942, -76.552264"
9438,111 NORMAN ROGERS DR,Playground,RODDEN PARK PLAYGROUND,"{""coordinates"": [-76.5196778, 44.2333586], ""type"": ""Point""}","44.2333586, -76.5196778"
9311,142 UNION ST,Cell Antenna,142 UNION ST CELL ANTENNA,"{""coordinates"": [-76.4975802, 44.2265407], ""type"": ""Point""}","44.2265407, -76.4975802"
9315,1106 KING ST W,Former Grain Elevevator,ELEVATOR BAY,"{""coordinates"": [-76.5365464, 44.2179726], ""type"": ""Point""}","44.2179726, -76.5365464"
9318,1476 HANOVER DR,Playground,MIDLAND PARK PLAYGROUND 1,"{""coordinates"": [-76.5805175, 44.2742309], ""type"": ""Point""}","44.2742309, -76.5805175"
8150,100 WRIGHT CR,Recreation Facility,YMCA KINGSTON,"{""coordinates"": [-76.5172917, 44.2400334], ""type"": ""Point""}","44.2400334, -76.5172917"
9047,100 PORTSMOUTH AV,Parking Lot,ST. LAWRENCE COLLEGE LOT,"{""coordinates"": [-76.528438, 44.2248486], ""type"": ""Point""}","44.2248486, -76.528438"
9162,955 HUDSON DR,Playground,HUDSON PARK PLAYGROUND,"{""coordinates"": [-76.5845782, 44.2444152], ""type"": ""Point""}","44.2444152, -76.5845782"
9163,602 CHADWICK DR,Playground,CHADWICK PARKETTE PLAYGROUND,"{""coordinates"": [-76.5491531, 44.2619135], ""type"": ""Point""}","44.2619135, -76.5491531"
9442,444 KINGSDALE AVE,Playground,MEADOWBROOK PARK PLAYGROUND 2,"{""coordinates"": [-76.5445779, 44.2458726], ""type"": ""Point""}","44.2458726, -76.5445779"
9444,52 KENWOODS CIR,Playground,LILLA BURKE PARK PLAYGROUND,"{""coordinates"": [-76.4680525, 44.2561261], ""type"": ""Point""}","44.2561261, -76.4680525"
9327,825 GARDINERS RD,Place of Worship,BAYRIDGE ALLIANCE CHURCH,"{""coordinates"": [-76.5692877, 44.2526316], ""type"": ""Point""}","44.2526316, -76.5692877"
9232,15 ASSORO CRES,Park,ASSORO PARK (CFB),"{""coordinates"": [-76.4592452, 44.2389795], ""type"": ""Point""}","44.2389795, -76.4592452"
9233,49 ABERFOYLE RD,Swingset,ABERFOYLE PARK PLAYGROUND 2,"{""coordinates"": [-76.5197537, 44.2571072], ""type"": ""Point""}","44.2571072, -76.5197537"
9234,920 KING ST,Swingset,LAKE ONTARIO PARK SWINGSET 2,"{""coordinates"": [-76.5307561, 44.218809], ""type"": ""Point""}","44.218809, -76.5307561"
9114,182 SYDENHAM RD,Employment Services,KEYS,"{""coordinates"": [-76.4874368, 44.2327503], ""type"": ""Point""}","44.2327503, -76.4874368"
8241,381 SELECT DR,Government Centre,DRIVE TEST CENTRE,"{""coordinates"": [-76.5556142, 44.2565004], ""type"": ""Point""}","44.2565004, -76.5556142"
8242,114 WRIGHT CR,Community Garden,ONGWANADA COMMUNITY GARDEN,"{""coordinates"": [-76.5162196, 44.2403075], ""type"": ""Point""}","44.2403075, -76.5162196"
8751,83 STADIUM LN,Parking Lot,QUEEN'S RICHARDSON STADIUM PARKING LOT,"{""coordinates"": [-76.514768, 44.2276621], ""type"": ""Point""}","44.2276621, -76.514768"
9448,303 YORK ST,Baseball Field,KMC BASEBALL FIELD 2,"{""coordinates"": [-76.5003122, 44.2409038], ""type"": ""Point""}","44.2409038, -76.5003122"
9137,141 KING ST E,Hotel / Motel,HOTEL BELVEDERE,"{""coordinates"": [-76.4854857, 44.2252369], ""type"": ""Point""}","44.2252369, -76.4854857"
9409,1155 PRINCESS ST,Hotel / Motel,CONWAY'S MOTEL,"{""coordinates"": [-76.5200991, 44.2456479], ""type"": ""Point""}","44.2456479, -76.5200991"
9413,10 BILLY BISHOP RD,RMC,CAVALRY BLDG,"{""coordinates"": [-76.4690211, 44.2352351], ""type"": ""Point""}","44.2352351, -76.4690211"
9115,750 INNOVATION DR,Soccer Field,J. MACHEN SPORTS FIELDS,"{""coordinates"": [-76.4334457, 44.2734843], ""type"": ""Point""}","44.2734843, -76.4334457"
8447,HUGHES RD,Quarry-Abandoned,EAST HUGHES RD QUARRY,"{""coordinates"": [-76.3781617, 44.3529296], ""type"": ""Point""}","44.3529296, -76.3781617"
8448,3501 PINE GROVE RD,Quarry-Active,KEYES PINE GROVE RD QUARRY,"{""coordinates"": [-76.275799, 44.4016294], ""type"": ""Point""}","44.4016294, -76.275799"
8157,1348 MCADOOS LN,Quarry-Active,LAFARGE MCADOOS LN QUARRY,"{""coordinates"": [-76.4931969, 44.2837407], ""type"": ""Point""}","44.2837407, -76.4931969"
9051,1088 UNITY RD,Quarry-Abandoned,1088 UNITY RD QUARRY,"{""coordinates"": [-76.4738424, 44.325624], ""type"": ""Point""}","44.325624, -76.4738424"
8450,1610 WESTBROOK RD,Quarry-Active,LAFARGE WESTBROOK QUARRY,"{""coordinates"": [-76.6233149, 44.2931734], ""type"": ""Point""}","44.2931734, -76.6233149"
9241,275 Ontario St,Community Service,COMMUNITY FOUNDATION FOR KINGSTON & AREA,"{""coordinates"": [-76.4790669, 44.2317441], ""type"": ""Point""}","44.2317441, -76.4790669"
9242,2485 PRINCESS ST,Retirement Residence,ROYALE PLACE RETIREMENT RESIDENCE,"{""coordinates"": [-76.5660022, 44.2578065], ""type"": ""Point""}","44.2578065, -76.5660022"
9244,4397 HOWES RD,Solar Farm,4397 SOLAR FARM,"{""coordinates"": [-76.6789695, 44.300582], ""type"": ""Point""}","44.300582, -76.6789695"
8247,4000 BATH RD,Boat Ramp,BLUE WOODS MARINA BOAT RAMP,"{""coordinates"": [-76.6018781, 44.2401981], ""type"": ""Point""}","44.2401981, -76.6018781"
9122,1 CLARENCE ST,Historic Site,SHOAL TOWER,"{""coordinates"": [-76.4781384, 44.228805], ""type"": ""Point""}","44.228805, -76.4781384"
8163,770 CENTENNIAL DR,Trail Access,CATARAQUI ESTATES BP TRAIL ACCESS,"{""coordinates"": [-76.5643961, 44.2798282], ""type"": ""Point""}","44.2798282, -76.5643961"
9275,4 YACHT CLUB LN,Splash Pad,KMFRC SPLASH PAD,"{""coordinates"": [-76.4483804, 44.2373222], ""type"": ""Point""}","44.2373222, -76.4483804"
9284,755 BAYRIDGE DR,Soccer Field,BAYRIDGE PARK SOCCER FIELD 1,"{""coordinates"": [-76.59159, 44.2474967], ""type"": ""Point""}","44.2474967, -76.59159"
9268,240 MARILYN AV,Education Facility,J.J.ONEILL CATHOLIC SCHOOL,"{""coordinates"": [-76.9653962, 44.2471513], ""type"": ""Point""}","44.2471513, -76.9653962"
8838,11 BARRIE ST,Queen's University,MACKLEM HOUSE,"{""coordinates"": [-76.4906388, 44.2230214], ""type"": ""Point""}","44.2230214, -76.4906388"
8535,183 UNIVERSITY AV,Queen's University,ASUS,"{""coordinates"": [-76.49533, 44.2293125], ""type"": ""Point""}","44.2293125, -76.49533"
8839,193 UNIVERSITY AV,Queen's University,FRANCOPHONE CENTRE,"{""coordinates"": [-76.4953498, 44.229666], ""type"": ""Point""}","44.229666, -76.4953498"
9124,28 ALBERT ST,Queen's University,QUEEN'S BRANT HOUSE RESIDENCE,"{""coordinates"": [-76.5001304, 44.2235333], ""type"": ""Point""}","44.2235333, -76.5001304"
8251,25 KING ST W,Queen's University,BURR WING,"{""coordinates"": [-76.4924073, 44.2231623], ""type"": ""Point""}","44.2231623, -76.4924073"
9128,76 STUART ST,Queen's University,DAVIES WING,"{""coordinates"": [-76.4942964, 44.223659], ""type"": ""Point""}","44.223659, -76.4942964"
8165,731 MONTREAL ST,Pickleball Court,BELLE PARK PICKLEBALL COURT,"{""coordinates"": [-76.4835217, 44.2525333], ""type"": ""Point""}","44.2525333, -76.4835217"
8672,Grenville Cr,Park,MARSHLANDS CONSERVATION AREA TRAILS (NORTH),"{""coordinates"": [-76.5355834, 44.2434389], ""type"": ""Point""}","44.2434389, -76.5355834"
8363,33 BAGOT ST,Washroom (W),CITY PARK - RECREATION FIELD HOUSE WASHROOM,"{""coordinates"": [-76.4888323, 44.2261207], ""type"": ""Point""}","44.2261207, -76.4888323"
9287,41 GRENADIER DR,Soccer Field,GRENADIER PARK MINI SOCCER FIELD 2,"{""coordinates"": [-76.4551819, 44.2548541], ""type"": ""Point""}","44.2548541, -76.4551819"
9288,70 CRAFTSMAN BLVD,Soccer Field,CANADIAN FORCES BASE KINGSTON SOCCER FIELD,"{""coordinates"": [-76.4555749, 44.2411286], ""type"": ""Point""}","44.2411286, -76.4555749"
9295,,Village,MORTON,"{""coordinates"": [-76.1980157, 44.5380315], ""type"": ""Point""}","44.5380315, -76.1980157"
9296,,Village,PETWORTH,"{""coordinates"": [-76.7607602, 44.4168771], ""type"": ""Point""}","44.4168771, -76.7607602"
9297,,Village,TOLEDO,"{""coordinates"": [-75.9950131, 44.740032], ""type"": ""Point""}","44.740032, -75.9950131"
9303,10 RIVER ST,Trailhead & Parking,WATERFRONT TRAILTRAILHEAD - RIVER ST,"{""coordinates"": [-76.4801243, 44.244262], ""type"": ""Point""}","44.244262, -76.4801243"
8844,266 MCMAHON AVE,Baseball Field,ST. PAUL'S ELEMENTARY SCHOOL BASEBALL FIELD,"{""coordinates"": [-76.5244539, 44.2491348], ""type"": ""Point""}","44.2491348, -76.5244539"
8254,155 SYDENHAM ST,Hospital,HOTEL DIEU HOSPITAL HISTORIC SITE,"{""coordinates"": [-76.4870613, 44.2309009], ""type"": ""Point""}","44.2309009, -76.4870613"
8961,920 KING ST,Washroom,LAKE ONTARIO PARK WASHROOM,"{""coordinates"": [-76.5314867, 44.2167842], ""type"": ""Point""}","44.2167842, -76.5314867"
8366,1030 SUNNYSIDE RD,Playground,CLOVERDALE PARK PLAYGROUND 3,"{""coordinates"": [-76.5472222, 44.2789951], ""type"": ""Point""}","44.2789951, -76.5472222"
8678,1030 SUNNYSIDE RD,Playground,CLOVERDALE PARK SWINGSET,"{""coordinates"": [-76.5472313, 44.2788303], ""type"": ""Point""}","44.2788303, -76.5472313"
8962,346 COLLEGE ST,Playground,COMPTON PARK PLAYGROUND,"{""coordinates"": [-76.5111139, 44.2348439], ""type"": ""Point""}","44.2348439, -76.5111139"
8963,POINT CR,Open Space,LAKE STREET OPEN SPACE,"{""coordinates"": [-76.5662257, 44.2101988], ""type"": ""Point""}","44.2101988, -76.5662257"
8965,190 WELBORNE AVE,Running Track,WELBORNE PUBLIC SCHOOL TRACK,"{""coordinates"": [-76.5789837, 44.2218188], ""type"": ""Point""}","44.2218188, -76.5789837"
9199,,Village,SWITZERVILLE,"{""coordinates"": [-76.8489614, 44.2874998], ""type"": ""Point""}","44.2874998, -76.8489614"
9200,,Village,DESMOND,"{""coordinates"": [-76.8424361, 44.3957425], ""type"": ""Point""}","44.3957425, -76.8424361"
9202,,Village,LEHIGHS CORNER,"{""coordinates"": [-75.948015, 44.7110298], ""type"": ""Point""}","44.7110298, -75.948015"
9203,,Town,MARYSVILLE,"{""coordinates"": [-76.4438968, 44.1902448], ""type"": ""Point""}","44.1902448, -76.4438968"
9206,,Village,MAITLAND,"{""coordinates"": [-75.6120145, 44.6360318], ""type"": ""Point""}","44.6360318, -75.6120145"
9212,,Village,LATIMER,"{""coordinates"": [-76.5090058, 44.3620642], ""type"": ""Point""}","44.3620642, -76.5090058"
9250,234 NORMAN ROGERS DR,Playground,ST. THOMAS MORE ELEMENTARY SCHOOL PLAYGROUND 2,"{""coordinates"": [-76.5245189, 44.234469], ""type"": ""Point""}","44.234469, -76.5245189"
8542,317 ONTARIO ST,Historic Site,FORT FRONTENAC CFB,"{""coordinates"": [-76.4782221, 44.233589], ""type"": ""Point""}","44.233589, -76.4782221"
8544,1 KING ST E,Historic Site,FRONTENAC VILLAGE,"{""coordinates"": [-76.4791554, 44.2346706], ""type"": ""Point""}","44.2346706, -76.4791554"
8545,686 PRINCESS ST,Hotel / Motel,HOWARD JOHNSON,"{""coordinates"": [-76.5040309, 44.2376283], ""type"": ""Point""}","44.2376283, -76.5040309"
8546,720 PRINCESS ST,Hotel / Motel,SUPER 8 MOTEL,"{""coordinates"": [-76.5048221, 44.2379894], ""type"": ""Point""}","44.2379894, -76.5048221"
8966,540 ARMSTRONG RD,Health Centre,MEADOWBROOK FAMILY MEDICINE,"{""coordinates"": [-76.5416534, 44.2400897], ""type"": ""Point""}","44.2400897, -76.5416534"
8967,559 BAGOT ST,Community Service,BOYS & GIRLS CLUB CENTRAL,"{""coordinates"": [-76.4845043, 44.2392643], ""type"": ""Point""}","44.2392643, -76.4845043"
8969,844A PRINCESS ST,Community Service,HIV/AIDS REGIONAL SERVICES,"{""coordinates"": [-76.5090228, 44.23986], ""type"": ""Point""}","44.23986, -76.5090228"
8368,,Community Service,MINISTRY OF COMMUNITY AND SOCIAL SERVICES,"{""coordinates"": [-76.516471, 44.2442482], ""type"": ""Point""}","44.2442482, -76.516471"
8369,191 PORTSMOUTH AVE,Community Service,ONGWANADA RESOURCE CENTRE,"{""coordinates"": [-76.5239497, 44.2275274], ""type"": ""Point""}","44.2275274, -76.5239497"
8683,496 Days Rd,Community Service,CANADIAN CANCER SOCIETY,"{""coordinates"": [-76.5697044, 44.2360352], ""type"": ""Point""}","44.2360352, -76.5697044"
9218,945 GARDINERS RD,Bus Transfer Station,CATARAQUI CENTRE TRANSFER POINT,"{""coordinates"": [-76.5726242, 44.2550599], ""type"": ""Point""}","44.2550599, -76.5726242"
9216,5 GENERAL CRERAR CRES,Education Facility,ROYAL MILITARY COLLEGE OF CANADA,"{""coordinates"": [-76.4679512, 44.230848], ""type"": ""Point""}","44.230848, -76.4679512"
9220,1212 WOODBINE RD,Education Facility,KINGSTON CHRISTIAN SCHOOL,"{""coordinates"": [-76.6055427, 44.2580407], ""type"": ""Point""}","44.2580407, -76.6055427"
8198,253 ONTARIO ST,Gallery,CORNERSTONES FINE ARTS/CRAFTS,"{""coordinates"": [-76.4792437, 44.2308499], ""type"": ""Point""}","44.2308499, -76.4792437"
8790,2991 2 HWY,Boat Ramp,GRASS CREEK PARK BOAT RAMP,"{""coordinates"": [-76.312902, 44.2949472], ""type"": ""Point""}","44.2949472, -76.312902"
8480,920 KING ST,Boat Ramp,LAKE ONTARIO PARK BOAT RAMP,"{""coordinates"": [-76.5327887, 44.2171135], ""type"": ""Point""}","44.2171135, -76.5327887"
8481,1753 HWY 2,Boat Ramp,TREASURE ISLAND MARINA BOAT RAMP,"{""coordinates"": [-76.3767005, 44.2630728], ""type"": ""Point""}","44.2630728, -76.3767005"
8793,535 UNION ST,Running Track,RICHARDSON STADIUM TRACK,"{""coordinates"": [-76.5168744, 44.2280631], ""type"": ""Point""}","44.2280631, -76.5168744"
8850,103 DALTON AV,Hotel / Motel,COURTYARD MARRIOTT,"{""coordinates"": [-76.5038165, 44.2665064], ""type"": ""Point""}","44.2665064, -76.5038165"
8851,55 WARNE CR,Hotel / Motel,COMFORT INN,"{""coordinates"": [-76.5019226, 44.2676366], ""type"": ""Point""}","44.2676366, -76.5019226"
8852,1488 HWY 15,Hotel / Motel,KINGSTON MOTEL EAST,"{""coordinates"": [-76.4391228, 44.2806055], ""type"": ""Point""}","44.2806055, -76.4391228"
8548,794 HWY 2,Hotel / Motel,EXECUTIVE INN & SUITES,"{""coordinates"": [-76.4297221, 44.2429799], ""type"": ""Point""}","44.2429799, -76.4297221"
8258,2331 PRINCESS ST,Hotel / Motel,SEVEN OAKS MOTEL,"{""coordinates"": [-76.5510049, 44.2574273], ""type"": ""Point""}","44.2574273, -76.5510049"
8260,506 O'CONNOR DR,Water Tower,KINGSTON WEST WATER TOWER,"{""coordinates"": [-76.5666407, 44.2587895], ""type"": ""Point""}","44.2587895, -76.5666407"
8974,460 MOLLY MCGLYNN ST,Splash Pad,MOLLY MCGLYNN PARK SPLASH PAD,"{""coordinates"": [-76.4478344, 44.2662197], ""type"": ""Point""}","44.2662197, -76.4478344"
8975,32 ADELAIDE ST,Baseball Field,FRONTENAC SCHOOL PARKETTE BASEBALL FIELD 2,"{""coordinates"": [-76.4935668, 44.2409136], ""type"": ""Point""}","44.2409136, -76.4935668"
9362,72 SYDENHAM ST,Place of Worship,SYDENHAM STREET UNITED CHURCH,"{""coordinates"": [-76.4884555, 44.2299794], ""type"": ""Point""}","44.2299794, -76.4884555"
9364,1476 HANOVER DR,Park,MIDLAND PARK,"{""coordinates"": [-76.580347, 44.2744599], ""type"": ""Point""}","44.2744599, -76.580347"
9365,1016 BLUFFWOOD AVE,Parkette,BLUFFWOOD PARKETTE,"{""coordinates"": [-76.4388524, 44.2707397], ""type"": ""Point""}","44.2707397, -76.4388524"
9366,215 GREEN BAY RD,Park,GREEN BAY WALKWAY,"{""coordinates"": [-76.4639592, 44.2405486], ""type"": ""Point""}","44.2405486, -76.4639592"
9368,370 KING ST,Gallery,THE TETT CENTRE FOR CREATIVITY AND LEARNING,"{""coordinates"": [-76.5059787, 44.2207271], ""type"": ""Point""}","44.2207271, -76.5059787"
8199,22 GENERAL CRERAR CRES,Running Track,ROYAL MILITARY COLLEGE OF CANADA TRACK,"{""coordinates"": [-76.46864, 44.2294212], ""type"": ""Point""}","44.2294212, -76.46864"
8201,1165 COLLINS BAY RD,Beach Volleyball Court,KINGSTON EXPERT TEES (BEACH VOLLEYBALL),"{""coordinates"": [-76.6129471, 44.2621165], ""type"": ""Point""}","44.2621165, -76.6129471"
8855,3 POINT FREDERICK DR,RMC,FORT SAUVE DORMITORY,"{""coordinates"": [-76.4701383, 44.2301273], ""type"": ""Point""}","44.2301273, -76.4701383"
8555,752 KING ST W,Hospital,PROVIDENCE CARE HOSPITAL,"{""coordinates"": [-76.5279027, 44.2158509], ""type"": ""Point""}","44.2158509, -76.5279027"
8556,752 KING ST W,Historic Site,FORMER KINGSTON PSYCHIATRIC HOSPITAL,"{""coordinates"": [-76.5229102, 44.2158048], ""type"": ""Point""}","44.2158048, -76.5229102"
8557,1138 LEN BIRCHALL WY,Airport Facility,CENTRAL AIRWAYS CORP.,"{""coordinates"": [-76.5984335, 44.2182323], ""type"": ""Point""}","44.2182323, -76.5984335"
8262,1032 LEN BIRCHALL WY,Airport Facility,AOG HELISERVICES,"{""coordinates"": [-76.5928571, 44.2209327], ""type"": ""Point""}","44.2209327, -76.5928571"
8979,2701 CREEKFORD RD,Solid Waste Garage,SOLID WASTE GARGE,"{""coordinates"": [-76.5746964, 44.2790726], ""type"": ""Point""}","44.2790726, -76.5746964"
8982,303 YORK ST,Off-Leash Dog Park Shelter,KMC OFF LEASH DOG PARK SHELTER,"{""coordinates"": [-76.4999171, 44.2407036], ""type"": ""Point""}","44.2407036, -76.4999171"
9373,39 PARK CR,Park,CRERAR PARK,"{""coordinates"": [-76.567311, 44.2132752], ""type"": ""Point""}","44.2132752, -76.567311"
9376,2 NORTH ST,Park,DOUGLAS R. FLUHRER PARK,"{""coordinates"": [-76.4802952, 44.2375322], ""type"": ""Point""}","44.2375322, -76.4802952"
9378,57 WILEY ST,Park,BRICELAND PARK,"{""coordinates"": [-76.489075, 44.2587934], ""type"": ""Point""}","44.2587934, -76.489075"
9379,955 HUDSON DR,Park,HUDSON PARK,"{""coordinates"": [-76.5853125, 44.2439775], ""type"": ""Point""}","44.2439775, -76.5853125"
9381,864 ROCHDALE CRES,Park,ROCHDALE PARK,"{""coordinates"": [-76.428259, 44.3010043], ""type"": ""Point""}","44.3010043, -76.428259"
9382,588 TANNER DR,Park,ARBOUR RIDGE PARK,"{""coordinates"": [-76.5519693, 44.2431927], ""type"": ""Point""}","44.2431927, -76.5519693"
9384,1029 PARKLAND DR,Park,SHANE PARK,"{""coordinates"": [-76.6257233, 44.2591144], ""type"": ""Point""}","44.2591144, -76.6257233"
8205,,Town,NEWBURGH,"{""coordinates"": [-76.8916202, 44.3334719], ""type"": ""Point""}","44.3334719, -76.8916202"
8206,,Town,LYN,"{""coordinates"": [-75.7850113, 44.5750293], ""type"": ""Point""}","44.5750293, -75.7850113"
8210,487 BROCK ST,Outdoor Rink (Staffed),VICTORIA PARK OUTDOOR RINK,"{""coordinates"": [-76.4995577, 44.2332634], ""type"": ""Point""}","44.2332634, -76.4995577"
9018,460 MOLLY MCGLYNN ST,Playground,MOLLY MCGLYNN PARK PLAYGROUND,"{""coordinates"": [-76.447997, 44.2660925], ""type"": ""Point""}","44.2660925, -76.447997"
9019,145 KIRKPATRICK ST,Soccer Field,KINGSTON SECONDARY SCHOOL FOOTBALL SOCCER FIELD,"{""coordinates"": [-76.5006875, 44.2540073], ""type"": ""Point""}","44.2540073, -76.5006875"
9023,1300 BATH RD,Government Centre,SERVICE CANADA-BATH RD,"{""coordinates"": [-76.5456415, 44.2392826], ""type"": ""Point""}","44.2392826, -76.5456415"
