ROAD_ELEMENT_ID,STREET_BODY_NAME,STREET_TYPE_SUFFIX,DIRECTION_SUFFIX,STREET_CP,FROM_STREET,TO_STREET,PLOW_ROUTE,F_ADDR_L,T_ADDR_L,F_ADDR_R,T_ADDR_R,F_ADDR_L_911,T_ADDR_L_911,F_ADDR_R_911,T_ADDR_R_911,NO_OF_LANE,GIS_CLASS,JURISDICTION,RIGHT_SIDE_PARITY,TRAFFIC_FLOW,STATUS,MUNICIPALITY,RIGHT_MUNICIPALITY,LEFT_MUNICIPALITY,ROAD_LEVEL,STREET_TYPE_SHORT,MAP_LABEL,GeoJSON,geo_point_2d
2920,UNION,ST,,UNION ST,UNION ST,MOWAT AVE,5A,,,,,0,0,0,0,1,COLLECTOR,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Union St,"{""coordinates"": [[-76.519831, 44.2210247], [-76.5200612, 44.2209084]], ""type"": ""LineString""}","44.22096655, -76.5199461"
10,FRONT,RD,,FRONT RD,LAKEVIEW AVE,JORENE DR,9A,741,757,760,760,741,763,740,762,4,ARTERIAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,RD,Front Rd,"{""coordinates"": [[-76.5716002, 44.2182519], [-76.5735082, 44.2181399]], ""type"": ""LineString""}","44.2181959, -76.57255420000001"
358,HILL,ST,,HILL ST,NAPIER ST,WILLINGDON AVE,25R,54,68,59,69,54,68,59,69,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Hill St,"{""coordinates"": [[-76.5064346, 44.2276279], [-76.5076683, 44.2275335]], ""type"": ""LineString""}","44.227580700000004, -76.50705145"
2982,NEWCASTLE,ST,,NEWCASTLE ST,NOTTINGHILL AVE,DAWSON CRT,30R,905,931,906,926,905,931,906,926,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Newcastle St,"{""coordinates"": [[-76.5798412, 44.2575049], [-76.5806627, 44.2573339], [-76.5816857, 44.257292]], ""type"": ""LineString""}","44.257360896712854, -76.58075880445337"
3289,SPRUCEWOOD,CRES,,SPRUCEWOOD CRES,CUL DE SAC,CEDARWOOD DR,31R,997,1027,994,1024,997,1027,994,1024,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Sprucewood Cres,"{""coordinates"": [[-76.5799862, 44.2607599], [-76.5796804, 44.2618372]], ""type"": ""LineString""}","44.26129855, -76.57983329999999"
1876,ROBERT WALLACE,DR,,ROBERT WALLACE DR,JOHNSON ST,MACKENZIE CRES,5B,6,20,5,11,6,20,5,11,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,DR,Robert Wallace Dr,"{""coordinates"": [[-76.5280017, 44.2299572], [-76.5281161, 44.2307559]], ""type"": ""LineString""}","44.230356549999996, -76.5280589"
6124,COTTAGE FARMS,RD,,COTTAGE FARMS RD,BAY RD,CUL DE SAC,P,950,958,953,953,950,958,949,953,2,LOCAL,PRIVATE,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,RD,Cottage Farms Rd,"{""coordinates"": [[-76.3720726, 44.2648951], [-76.3720829, 44.2649647], [-76.3722564, 44.2653758], [-76.3722655, 44.2655356], [-76.3722638, 44.2655513], [-76.372263, 44.2655669], [-76.3722628, 44.2655826], [-76.3722634, 44.2655983], [-76.3722636, 44.2656107]], ""type"": ""LineString""}","44.26524883461509, -76.37218987779552"
3494,FESTUBERT,ST,,FESTUBERT ST,CRAFTSMAN BLVD,RED PATCH AVE,8C-R,15,15,16,22,15,25,16,24,2,LOCAL,FEDERAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Festubert St,"{""coordinates"": [[-76.4488032, 44.2436011], [-76.4488782, 44.2440683], [-76.4488792, 44.2440744], [-76.4489669, 44.2446158], [-76.4490528, 44.2451678]], ""type"": ""LineString""}","44.244384310764566, -76.44892888033944"
2726,CANAL DU NORD,DR,,CANAL DU NORD DR,BYNG AVE,CASSINO CRT,8C-R,13,13,,,13,15,12,14,2,LOCAL,FEDERAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,DR,Canal Du Nord Dr,"{""coordinates"": [[-76.4403451, 44.2374058], [-76.4403419, 44.2369623]], ""type"": ""LineString""}","44.237184049999996, -76.44034350000001"
1508,MANCORA,CIR,,MANCORA CL,CUL DE SAC,STONERIDGE DR,9R,1983,1999,1982,1998,1983,1999,1982,1998,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CL,Mancora Cl,"{""coordinates"": [[-76.5901362, 44.2351961], [-76.5910587, 44.2351475]], ""type"": ""LineString""}","44.2351718, -76.59059745"
1593,WESTDALE,AVE,,WESTDALE AVE,CARRUTHERS AVE,PARK ST,25R,184,244,181,247,184,244,181,247,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Westdale Ave,"{""coordinates"": [[-76.5126967, 44.2353487], [-76.5129738, 44.2382031]], ""type"": ""LineString""}","44.2367759, -76.51283525"
16460,MEMORY,LANE,,MEMORY LANE,DUFFE LANE,EASTERLY END,P,2380,2400,,,2380,2400,0,0,1,LOCAL,PRIVATE,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,LN,Memory Lane,"{""coordinates"": [[-76.4029737, 44.3353628], [-76.4027989, 44.3354136], [-76.4014226, 44.3355048]], ""type"": ""LineString""}","44.33545092237206, -76.40220116851194"
2013,ALLUM,AVE,,ALLUM AVE,ALLUM AVE,ALLUM AVE,33R,721,849,720,864,721,865,720,866,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Allum Ave,"{""coordinates"": [[-76.5987719, 44.2498412], [-76.5987712, 44.2498283], [-76.5987721, 44.2498153], [-76.5987745, 44.2498025], [-76.5987785, 44.2497898], [-76.5987839, 44.2497774], [-76.5987908, 44.2497654], [-76.5987991, 44.2497538], [-76.5988087, 44.2497428], [-76.5988196, 44.2497324], [-76.5988317, 44.2497227], [-76.5988449, 44.2497138], [-76.5988591, 44.2497057], [-76.5988742, 44.2496986], [-76.5988901, 44.2496923], [-76.5989066, 44.2496871], [-76.5989237, 44.2496829], [-76.5989413, 44.2496798], [-76.5989591, 44.2496777], [-76.5989771, 44.2496768], [-76.5989951, 44.2496769], [-76.599695, 44.2495382], [-76.5997064, 44.2495345], [-76.5997181, 44.2495314], [-76.5997302, 44.2495291], [-76.5997425, 44.2495276], [-76.5997549, 44.2495268], [-76.5997673, 44.2495268], [-76.5997797, 44.2495275], [-76.599792, 44.249529], [-76.599804, 44.2495313], [-76.5998157, 44.2495343], [-76.5998269, 44.2495381], [-76.5998377, 44.2495425], [-76.5998479, 44.2495475], [-76.5998574, 44.2495532], [-76.5998663, 44.2495595], [-76.5998743, 44.2495663], [-76.5998815, 44.2495735], [-76.5998877, 44.2495812], [-76.5998931, 44.2495893], [-76.5998974, 44.2495976], [-76.5999007, 44.2496062], [-76.599903, 44.249615], [-76.5999042, 44.2496239], [-76.5999044, 44.2496329], [-76.5999034, 44.2496418], [-76.5999014, 44.2496506], [-76.5998984, 44.2496593], [-76.6000259, 44.2512833], [-76.599149, 44.2515369], [-76.5991368, 44.2515424], [-76.5991241, 44.2515471], [-76.5991108, 44.2515509], [-76.5990971, 44.251554], [-76.5990831, 44.2515561], [-76.5990689, 44.2515574], [-76.5990546, 44.2515578], [-76.5990404, 44.2515573], [-76.5990262, 44.2515558], [-76.5990123, 44.2515535], [-76.5989988, 44.2515503], [-76.5989857, 44.2515463], [-76.5989732, 44.2515415], [-76.5989613, 44.2515359], [-76.5989501, 44.2515295], [-76.5989398, 44.2515225], [-76.5989303, 44.2515148], [-76.5989219, 44.2515066], [-76.5989145, 44.2514979], [-76.5989082, 44.2514887], [-76.598903, 44.2514792], [-76.598899, 44.2514693], [-76.5988963, 44.2514593], [-76.5988948, 44.2514491], [-76.5988945, 44.2514388], [-76.5987719, 44.2498412]], ""type"": ""LineString""}","44.250531891547894, -76.59939445204898"
3111,BYNG,AVE,,BYNG AVE,PRINCESS MARY AVE,PARADE RD,8C-R,,,3,5,4,6,3,5,2,LOCAL,FEDERAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Byng Ave,"{""coordinates"": [[-76.4381542, 44.2375731], [-76.4371037, 44.2376534]], ""type"": ""LineString""}","44.237613249999995, -76.43762895"
6416,JANETTE,ST,,JANETTE ST,HOLDEN ST,BETH CRES,35R,301,357,310,366,301,357,310,366,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Janette St,"{""coordinates"": [[-76.5898213, 44.2623721], [-76.5913109, 44.2623672], [-76.5913258, 44.262366], [-76.5913408, 44.2623657], [-76.5913558, 44.2623664], [-76.5913706, 44.2623681], [-76.5913852, 44.2623706], [-76.5913993, 44.2623741], [-76.591413, 44.2623784], [-76.5914261, 44.2623835], [-76.5914386, 44.2623895], [-76.5914502, 44.2623962], [-76.591461, 44.2624037], [-76.5914708, 44.2624117], [-76.5914797, 44.2624204], [-76.5914874, 44.2624296], [-76.591494, 44.2624393], [-76.5914994, 44.2624493], [-76.5915035, 44.2624596], [-76.5915064, 44.2624702], [-76.591508, 44.2624809], [-76.5915083, 44.2624917], [-76.5915131, 44.263129]], ""type"": ""LineString""}","44.26249089225711, -76.59091276124391"
6417,BETH,CRES,,BETH CRES,JANETTE ST,GWEN AVE,35R,455,519,452,532,455,519,452,532,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Beth Cres,"{""coordinates"": [[-76.5915131, 44.263129], [-76.5924162, 44.2633126], [-76.5924317, 44.263316], [-76.5924467, 44.2633204], [-76.5924611, 44.2633257], [-76.5924747, 44.2633319], [-76.5924875, 44.263339], [-76.5924994, 44.2633469], [-76.5925103, 44.2633555], [-76.59252, 44.2633647], [-76.5925286, 44.2633746], [-76.5925358, 44.263385], [-76.5925418, 44.2633958], [-76.5925465, 44.2634069], [-76.5925497, 44.2634183], [-76.5925515, 44.2634299], [-76.5925519, 44.2634416], [-76.5925508, 44.2634532], [-76.5925504, 44.2637533], [-76.592548, 44.2637642], [-76.5925442, 44.2637749], [-76.5925392, 44.2637853], [-76.5925329, 44.2637954], [-76.5925255, 44.2638051], [-76.592517, 44.2638143], [-76.5925074, 44.2638229], [-76.5924969, 44.263831], [-76.5924854, 44.2638384], [-76.5924731, 44.263845], [-76.5924601, 44.2638509], [-76.5924465, 44.2638559], [-76.5924323, 44.2638602], [-76.5924176, 44.2638635], [-76.5924027, 44.2638659], [-76.5923875, 44.2638674], [-76.5923722, 44.263868], [-76.5915118, 44.2638739]], ""type"": ""LineString""}","44.26355530310044, -76.5921186696235"
6420,HOLDEN,ST,,HOLDEN ST,GWEN AVE,HORIZON DR,35R,,,286,310,287,311,286,310,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,ST,Holden St,"{""coordinates"": [[-76.5898753, 44.2646522], [-76.5898817, 44.2655838]], ""type"": ""LineString""}","44.265118, -76.5898785"
3027,FRIARHILL,CRES,,FRIARHILL CRES,FRIARHILL CRES,WATERLOO DR,7R,309,337,304,366,309,337,304,366,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Friarhill Cres,"{""coordinates"": [[-76.5490707, 44.2545205], [-76.5499979, 44.2545455], [-76.5514218, 44.2546949], [-76.5514276, 44.2546958], [-76.5514333, 44.2546966], [-76.5514391, 44.2546972], [-76.5514449, 44.2546976], [-76.5514507, 44.2546979], [-76.5514566, 44.2546981], [-76.5514624, 44.2546982], [-76.5514683, 44.2546981], [-76.5514741, 44.2546978], [-76.55148, 44.2546974], [-76.5514858, 44.2546969], [-76.5514915, 44.2546963], [-76.5514973, 44.2546955], [-76.551503, 44.2546945], [-76.5515086, 44.2546934], [-76.5515142, 44.2546922], [-76.5515198, 44.2546909], [-76.5515252, 44.2546894], [-76.5515306, 44.2546878], [-76.551536, 44.254686], [-76.5515412, 44.2546842], [-76.5515464, 44.2546822], [-76.5515514, 44.2546801], [-76.5515566, 44.2546777], [-76.5515616, 44.2546753], [-76.5515666, 44.2546727], [-76.5515714, 44.2546699], [-76.551576, 44.2546671], [-76.5515806, 44.2546642], [-76.5515849, 44.2546611], [-76.5515892, 44.2546579], [-76.5515932, 44.2546546], [-76.5515971, 44.2546513], [-76.5516009, 44.2546478], [-76.5516044, 44.2546442], [-76.5516078, 44.2546406], [-76.551611, 44.2546368], [-76.5516141, 44.254633], [-76.5516169, 44.2546291], [-76.5516195, 44.2546252], [-76.5518025, 44.2539332]], ""type"": ""LineString""}","44.254525514587755, -76.55065128750232"
1066,ASSORO,CRES,,ASSORO CRES,YPRES DR,YPRES DR,8C-R,4,10,15,15,4,14,9,15,2,LOCAL,FEDERAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Assoro Cres,"{""coordinates"": [[-76.4567905, 44.2381261], [-76.4568028, 44.2382085], [-76.4568129, 44.2382595], [-76.4568254, 44.2383103], [-76.4568404, 44.2383607], [-76.4568578, 44.2384107], [-76.4568728, 44.2384464], [-76.4568895, 44.2384816], [-76.4569078, 44.2385165], [-76.4569278, 44.2385509], [-76.4569494, 44.2385847], [-76.4569726, 44.238618], [-76.4569973, 44.2386508], [-76.4570235, 44.2386829], [-76.4570513, 44.2387144], [-76.4570806, 44.2387451], [-76.4571112, 44.2387751], [-76.4571433, 44.2388044], [-76.4571767, 44.2388329], [-76.4571909, 44.2388462], [-76.4572057, 44.2388591], [-76.4572211, 44.2388717], [-76.457237, 44.2388839], [-76.4572535, 44.2388957], [-76.4572706, 44.2389071], [-76.4572881, 44.2389181], [-76.4573062, 44.2389287], [-76.4573247, 44.2389389], [-76.4573437, 44.2389486], [-76.4573631, 44.2389578], [-76.4573829, 44.2389666], [-76.4574032, 44.2389749], [-76.4574238, 44.2389827], [-76.4574463, 44.2389908], [-76.4574691, 44.2389983], [-76.4574923, 44.2390052], [-76.4575159, 44.2390116], [-76.4575397, 44.2390174], [-76.4575638, 44.2390226], [-76.4575881, 44.2390273], [-76.4576126, 44.2390313], [-76.4576373, 44.2390347], [-76.4576621, 44.2390376], [-76.4576871, 44.2390398], [-76.4577121, 44.2390414], [-76.4577372, 44.2390424], [-76.4577624, 44.2390428], [-76.4577875, 44.2390426], [-76.4578126, 44.2390417], [-76.4578377, 44.2390403], [-76.4578627, 44.2390382], [-76.4578876, 44.2390356], [-76.4579123, 44.2390323], [-76.4579369, 44.2390284], [-76.4579612, 44.239024], [-76.4579854, 44.2390189], [-76.4580093, 44.2390133], [-76.4580329, 44.239007], [-76.4580562, 44.2390003], [-76.4580792, 44.2389929], [-76.4581018, 44.238985], [-76.4596607, 44.2384015]], ""type"": ""LineString""}","44.2387329376687, -76.4580621884033"
7243,TREMONT,DR,,TREMONT DR,HORIZON DR,WOODHAVEN DR,35R,,,,,1403,1411,1402,1410,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,DR,Tremont Dr,"{""coordinates"": [[-76.5939038, 44.2660304], [-76.5949597, 44.2660147]], ""type"": ""LineString""}","44.26602255, -76.59443175000001"
3248,POINT,CRES,,POINT CRES,KEYES ST,SUNNY ACRES RD,34R,12,42,13,49,12,44,13,49,2,LOCAL,MUNICIPAL,ODD,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,CR,Point Cres,"{""coordinates"": [[-76.5660434, 44.2107416], [-76.5659755, 44.2103775], [-76.5658967, 44.2100084], [-76.5658137, 44.2096825], [-76.5658087, 44.2096694], [-76.565803, 44.2096565], [-76.5657967, 44.2096437], [-76.5657899, 44.2096311], [-76.5657824, 44.2096186], [-76.5657744, 44.2096063], [-76.5657659, 44.2095942], [-76.5657567, 44.2095824], [-76.5657471, 44.2095707], [-76.5657369, 44.2095593], [-76.5657262, 44.2095482], [-76.565715, 44.2095373], [-76.5657032, 44.2095266], [-76.565691, 44.2095163], [-76.5656784, 44.2095063], [-76.5656652, 44.2094965], [-76.5656516, 44.2094871], [-76.5656377, 44.209478], [-76.5654988, 44.209401], [-76.565325, 44.209329], [-76.565126, 44.2092654], [-76.5651089, 44.2092604], [-76.5650916, 44.2092558], [-76.5650741, 44.2092516], [-76.5650565, 44.2092479], [-76.5650386, 44.2092445], [-76.5650206, 44.2092417], [-76.5650024, 44.2092393], [-76.5649842, 44.2092373], [-76.5649659, 44.2092358], [-76.5649475, 44.2092348], [-76.5649291, 44.2092342], [-76.5649106, 44.2092341], [-76.5648922, 44.2092344], [-76.5648738, 44.2092352], [-76.5648554, 44.2092364], [-76.5648371, 44.2092381], [-76.5648189, 44.2092403], [-76.5648009, 44.2092429], [-76.5647829, 44.2092459], [-76.5636146, 44.2095382], [-76.5636077, 44.2095401], [-76.5636009, 44.2095421], [-76.5635942, 44.2095443], [-76.5635876, 44.2095467], [-76.5635811, 44.2095492], [-76.5635748, 44.2095519], [-76.5635686, 44.2095547], [-76.5635625, 44.2095578], [-76.5635566, 44.2095609], [-76.5635509, 44.2095642], [-76.5635453, 44.2095676], [-76.5635398, 44.2095712], [-76.5635346, 44.2095749], [-76.5635295, 44.2095788], [-76.5635246, 44.2095827], [-76.56352, 44.2095868], [-76.5635155, 44.209591], [-76.5635112, 44.2095953], [-76.5635071, 44.2095998]], ""type"": ""LineString""}","44.20963941162772, -76.56507527555827"
570,CHELSEA,RD,,CHELSEA RD,DONELL CRT,WELBORNE AVE,34R,357,357,368,368,357,365,358,368,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,RD,Chelsea Rd,"{""coordinates"": [[-76.5809211, 44.2261626], [-76.5816025, 44.2263201]], ""type"": ""LineString""}","44.22624135, -76.5812618"
15880,ROSANNA,AVE,,ROSANNA AVE,PRINCESS ST,BLOSSOM ST,35R,1001,1007,1006,1012,1001,1011,1006,1012,2,LOCAL,MUNICIPAL,EVEN,BOTH,ACTIVE,KINGSTON,KINGSTON,KINGSTON,Ground Level,AV,Rosanna Ave,"{""coordinates"": [[-76.5992589, 44.2621228], [-76.5992799, 44.2630951], [-76.5992968, 44.2631294], [-76.5993178, 44.2631624], [-76.5993426, 44.2631941], [-76.5993711, 44.263224], [-76.5994031, 44.2632521], [-76.5994383, 44.2632781], [-76.5994766, 44.2633018], [-76.5995175, 44.2633231], [-76.5995609, 44.2633417], [-76.5996063, 44.2633576], [-76.5996536, 44.2633706], [-76.5996965, 44.2633902], [-76.5997369, 44.2634123], [-76.5997745, 44.263437], [-76.5998088, 44.2634639], [-76.5998397, 44.2634929], [-76.5998669, 44.2635238], [-76.5998903, 44.2635563], [-76.5999095, 44.2635902], [-76.5999246, 44.2636252], [-76.5999353, 44.263661], [-76.5999416, 44.2636974]], ""type"": ""LineString""}","44.2629883183952, -76.59944707611108"
